Año,Razón corriente,Prueba ácida,Endeudamiento,Deuda patrimonio,Margen bruto,Margen operacional,Margen neto,Rotación activos,ROA,ROE,Cobertura intereses
2023,0.546707767715254,0.3761416071531142,0.39945052847088003,0.665141753357635,0.4680667190250824,0.248943829541241,0.27830347054547155,0.6227665218743125,0.1733180843771535,0.2885991789083599,28.806081081081082
2024,0.7184764980316789,0.4918230725813942,0.2840200621943119,0.3966871796223332,0.46910460615352584,0.25033991715800863,0.2456615213777134,0.5870519984999097,0.14421608707931496,0.21944212352073403,17.57975188303057
2025,0.5421030025362022,0.37380859854372905,0.3975526883607705,0.6598961945386547,0.4478258043548911,0.20100357491062723,0.2208878778030549,0.7297563178350831,0.16119432435996314,0.2444096671835309,34.74651685393258
